rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,slider_start,accuracy,participant_id,ctime
3163,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,3168,0.0-0.0,NA,NA,5d3cda2e-99c4-4e2b-aa9b-5b4581f10ba2,2024-03-13 12:32:39 CET
13180,"Please read this text: <br><br><b>Sue runs a fitness club. She’s trying to evaluate how well her new assistant, Cole, knows her clients, who are at all levels of fitness. Sue’s business partner tells her what Cole said about Jackson, who is obese:<em> ""Cole doesn't know that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",30,html-slider-response,1,16350,0.0-1.0-0.0,50,NA,5d3cda2e-99c4-4e2b-aa9b-5b4581f10ba2,2024-03-13 12:32:39 CET
15124,NA,"{""P0_Q0"":null,""age"":""24"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated high school"",""comments"":""""}",survey,2,31515,0.0-2.0,NA,[],5d3cda2e-99c4-4e2b-aa9b-5b4581f10ba2,2024-03-13 12:32:39 CET
4046,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,4054,0.0-0.0,NA,NA,3493d041-9411-471d-9882-ae6f9920df7f,2024-03-13 12:37:06 CET
26094,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. After consulting her assistant, Cole, who is better informed about her clients’ activities over the weekend, Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is training for a marathon, Sue says to her husband:<em> ""Cole doesn't know that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",41,html-slider-response,1,30150,0.0-1.0-0.0,50,NA,3493d041-9411-471d-9882-ae6f9920df7f,2024-03-13 12:37:06 CET
18066,NA,"{""P0_Q0"":null,""age"":""49"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,48264,0.0-2.0,NA,[],3493d041-9411-471d-9882-ae6f9920df7f,2024-03-13 12:37:06 CET
2017,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,2022,0.0-0.0,NA,NA,ce31506c-fbfc-4ec7-b3d9-f52f5ec07947,2024-03-13 12:41:29 CET
39952,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. After consulting her assistant, Cole, who knows the teachers and the languages they speak better than she does, Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Korea, Sue says to her business partner:<em> ""Cole thinks that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",100,html-slider-response,1,41976,0.0-1.0-0.0,50,NA,ce31506c-fbfc-4ec7-b3d9-f52f5ec07947,2024-03-13 12:41:29 CET
23492,NA,"{""P0_Q0"":null,""age"":""58"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,65507,0.0-2.0,NA,[],ce31506c-fbfc-4ec7-b3d9-f52f5ec07947,2024-03-13 12:41:29 CET
13544,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,13552,0.0-0.0,NA,NA,fd7d78c2-860c-46d0-b853-145dc142da2f,2024-03-13 12:41:48 CET
53899,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. After consulting her assistant, Cole, who is better informed about her clients’ activities over the weekend, Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is training for a marathon, Sue says to her husband:<em> ""Cole thinks that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",81,html-slider-response,1,67452,0.0-1.0-0.0,50,NA,fd7d78c2-860c-46d0-b853-145dc142da2f,2024-03-13 12:41:48 CET
13973,NA,"{""P0_Q0"":null,""age"":""18"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,81468,0.0-2.0,NA,[],fd7d78c2-860c-46d0-b853-145dc142da2f,2024-03-13 12:41:48 CET
1924,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,1933,0.0-0.0,NA,NA,64d9cfbe-4943-47e0-9945-e278da67698d,2024-03-13 12:42:45 CET
34877,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. After consulting her assistant, Cole, who knows the teachers and the languages they speak better than she does, Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Korea, Sue says to her business partner:<em> ""Cole thinks that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",48,html-slider-response,1,36813,0.0-1.0-0.0,50,NA,64d9cfbe-4943-47e0-9945-e278da67698d,2024-03-13 12:42:45 CET
24775,NA,"{""P0_Q0"":null,""age"":""35"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""hold a higher degree"",""comments"":""na""}",survey,2,61658,0.0-2.0,NA,[],64d9cfbe-4943-47e0-9945-e278da67698d,2024-03-13 12:42:45 CET
6552,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,6560,0.0-0.0,NA,NA,b2f5a552-9087-4fd3-8016-0a103d3a9492,2024-03-13 12:43:22 CET
58470,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. After consulting her assistant, Cole, who knows the teachers and the languages they speak better than she does, Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Mexico, Sue says to her business partner:<em> ""Cole knows that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",100,html-slider-response,1,65030,0.0-1.0-0.0,50,NA,b2f5a552-9087-4fd3-8016-0a103d3a9492,2024-03-13 12:43:22 CET
19230,NA,"{""P0_Q0"":null,""age"":""41"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,84297,0.0-2.0,NA,[],b2f5a552-9087-4fd3-8016-0a103d3a9492,2024-03-13 12:43:22 CET
51787,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,51803,0.0-0.0,NA,NA,7c6c2101-d2f2-4fdd-b2b4-ba1580894501,2024-03-13 12:45:45 CET
86774,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Korea:<em> ""Cole doesn't think that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",69,html-slider-response,1,138581,0.0-1.0-0.0,50,NA,7c6c2101-d2f2-4fdd-b2b4-ba1580894501,2024-03-13 12:45:45 CET
63422,NA,"{""P0_Q0"":null,""age"":""56"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,202129,0.0-2.0,NA,[],7c6c2101-d2f2-4fdd-b2b4-ba1580894501,2024-03-13 12:45:45 CET
15989,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,15996,0.0-0.0,NA,NA,e10fbf6a-eef4-4d64-8340-fe7aa66d4763,2024-03-13 12:47:21 CET
24407,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. After consulting her assistant, Cole, who knows the teachers and the languages they speak better than she does, Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Mexico, Sue says to her business partner:<em> ""Cole thinks that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",80,html-slider-response,1,40408,0.0-1.0-0.0,50,NA,e10fbf6a-eef4-4d64-8340-fe7aa66d4763,2024-03-13 12:47:21 CET
14638,NA,"{""P0_Q0"":null,""age"":""25"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,55108,0.0-2.0,NA,[],e10fbf6a-eef4-4d64-8340-fe7aa66d4763,2024-03-13 12:47:21 CET
14185,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,14201,0.0-0.0,NA,NA,ca276d87-8559-43ec-9ef8-474a6b8c6fa9,2024-03-13 12:47:37 CET
74135,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Korea:<em> ""Cole doesn't know that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",0,html-slider-response,1,88343,0.0-1.0-0.0,50,NA,ca276d87-8559-43ec-9ef8-474a6b8c6fa9,2024-03-13 12:47:37 CET
20772,NA,"{""P0_Q0"":null,""age"":""27"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some high school"",""comments"":""""}",survey,2,109240,0.0-2.0,NA,[],ca276d87-8559-43ec-9ef8-474a6b8c6fa9,2024-03-13 12:47:37 CET
6700,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,6707,0.0-0.0,NA,NA,d2dc5966-2985-472f-9889-fef3d8e336ff,2024-03-13 12:49:04 CET
37777,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Korea:<em> ""Cole doesn't think that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",4,html-slider-response,1,44498,0.0-1.0-0.0,50,NA,d2dc5966-2985-472f-9889-fef3d8e336ff,2024-03-13 12:49:04 CET
18236,NA,"{""P0_Q0"":null,""age"":""62"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,62776,0.0-2.0,NA,[],d2dc5966-2985-472f-9889-fef3d8e336ff,2024-03-13 12:49:04 CET
6896,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,6902,0.0-0.0,NA,NA,606f4916-f37e-46ca-90ee-405aa9362ae7,2024-03-13 12:49:10 CET
28105,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is obese, Sue says to her husband:<em> ""Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",30,html-slider-response,1,35009,0.0-1.0-0.0,50,NA,606f4916-f37e-46ca-90ee-405aa9362ae7,2024-03-13 12:49:10 CET
41486,NA,"{""P0_Q0"":null,""age"":""58"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""None""}",survey,2,76543,0.0-2.0,NA,[],606f4916-f37e-46ca-90ee-405aa9362ae7,2024-03-13 12:49:10 CET
9520,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,9531,0.0-0.0,NA,NA,66fa9fc9-cbda-4cb5-9a4d-6a64b975fb67,2024-03-13 12:50:15 CET
17863,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Mexico:<em> ""Cole knows that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",100,html-slider-response,1,27396,0.0-1.0-0.0,50,NA,66fa9fc9-cbda-4cb5-9a4d-6a64b975fb67,2024-03-13 12:50:15 CET
12920,NA,"{""P0_Q0"":null,""age"":""33"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""hold a higher degree"",""comments"":""""}",survey,2,40371,0.0-2.0,NA,[],66fa9fc9-cbda-4cb5-9a4d-6a64b975fb67,2024-03-13 12:50:15 CET
5198,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,5204,0.0-0.0,NA,NA,dfb89dc6-a670-4870-8cdc-11b9811f7a0e,2024-03-13 12:51:49 CET
30130,"Please read this text: <br><br><b>Sue runs a fitness club. She has special medals for clients that ran ten miles or more over the weekend. After consulting her assistant, Cole, who is better informed about her clients’ activities over the weekend, Sue is currently working through a list of clients, who are at all levels of fitness, to identify who gets a medal. When she gets to Jackson, who is training for a marathon, Sue says to her husband:<em> ""Cole doesn't know that Jackson ran ten miles.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Jackson ran ten miles?",98,html-slider-response,1,35334,0.0-1.0-0.0,50,NA,dfb89dc6-a670-4870-8cdc-11b9811f7a0e,2024-03-13 12:51:49 CET
22278,NA,"{""P0_Q0"":null,""age"":""47"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",survey,2,57649,0.0-2.0,NA,[],dfb89dc6-a670-4870-8cdc-11b9811f7a0e,2024-03-13 12:51:49 CET
13697,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,13701,0.0-0.0,NA,NA,557cc1b1-f923-465b-bbb2-d67491568b88,2024-03-13 12:52:36 CET
34525,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Korea, Sue says to her business partner:<em> ""Charley doesn't speak Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",31,html-slider-response,1,48227,0.0-1.0-0.0,50,NA,557cc1b1-f923-465b-bbb2-d67491568b88,2024-03-13 12:52:36 CET
26332,NA,"{""P0_Q0"":null,""age"":""47"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,74592,0.0-2.0,NA,[],557cc1b1-f923-465b-bbb2-d67491568b88,2024-03-13 12:52:36 CET
7078,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,7083,0.0-0.0,NA,NA,cab37336-6ee6-4819-9767-782be28cc00a,2024-03-13 12:54:06 CET
64463,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She's putting together a list of the languages spoken by the remote teachers. Sue is currently working through the list of teachers to identify who speaks Spanish. When she gets to Charley, who lives in Korea, Sue says to her business partner:<em> ""Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",100,html-slider-response,1,71548,0.0-1.0-0.0,50,NA,cab37336-6ee6-4819-9767-782be28cc00a,2024-03-13 12:54:06 CET
466931,NA,"{""P0_Q0"":null,""age"":""37"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,2,538558,0.0-2.0,NA,[],cab37336-6ee6-4819-9767-782be28cc00a,2024-03-13 12:54:06 CET
1814,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and we will ask you a question about what you have read. You will give your response on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,html-button-response,0,1829,0.0-0.0,NA,NA,045c7deb-6344-4980-bf87-eb1f219b2692,2024-03-13 12:54:16 CET
39811,"Please read this text: <br><br><b>Sue runs a company that connects language learners with remote teachers who live all over the world. She’s trying to figure out how well her assistant, Cole, knows her remote teachers. Sue’s business partner tells her what Cole said about Charley, who lives in Korea:<em> ""Cole doesn't know that Charley speaks Spanish.""</b></em><br> <br> <br> <br> Given what you have read above, how likely is it that Charley speaks Spanish?",8,html-slider-response,1,41643,0.0-1.0-0.0,50,NA,045c7deb-6344-4980-bf87-eb1f219b2692,2024-03-13 12:54:16 CET
16094,NA,"{""P0_Q0"":null,""age"":""26"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""hold a higher degree"",""comments"":""""}",survey,2,57808,0.0-2.0,NA,[],045c7deb-6344-4980-bf87-eb1f219b2692,2024-03-13 12:54:16 CET
